x,y,char
52.4013970476806,28.104083760309283,v
95.70668065623082,93.48640497151717,s
11.134663609249817,21.381598633706666,o
43.443624158245875,70.06721523024584,e
94.07518467993805,85.27303701442536,I
69.12147767614077,94.97432040174625,V
28.206917643784777,99.16540006736209,g
75.76618006228408,25.42308030289825,U
8.250816255037467,22.208293521559753,c
59.19456604761923,29.769325349988808,c
43.31778881294142,67.96984106633703,e
27.1722055391471,64.4935178058416,s
27.965658559528862,69.9013501408187, 
61.22076535864229,31.769145314487254,0
10.687011353574505,21.158871316143678,p
26.904499964776683,98.48325039342105,e
7.756017206773856,22.295244345695863,y
27.74245517561259,4.580216252273306,e
81.723481190267,91.25982744103685,f
32.21292536704909,70.56188858444533,D
84.5447705031943,94.76558365229315,i
25.731688037715433,100.69960509706287,4
25.35494430577997,75.74968806833697,B
48.97351103881349,69.70530922919043,e
32.13813256700041,37.36480639365832,N
85.216948484522,91.04608398740484, 
57.627653804432164,19.747217671912466,C
91.69699579738865,1.7420456187415723,L
25.33869386694421,81.72209465481879, 
31.697575122703597,68.40294037985205,","
26.445527116178162,1.8750401750739596,r
65.11815318835997,27.220929668201286,{
45.80549482240905,68.21746741884954, 
13.134288261609797,21.420344597034834,l
29.568100957049783,3.7635048707433403,f
30.27374216407702,8.300778868603082, 
30.346058023750256,67.79232068688601,i
35.00590896712408,15.139081659485043,f
1.1428469478960368,93.26915315210455,a
35.29457943618617,67.29557968237978,o
26.264342590305777,100.40238929360684,r
63.49106209322155,45.95741381462065,G
87.71427716127424,20.41828271690582,A
83.02771299832021,92.77606600764246,g
27.67878866365143,98.90636234503387,r
26.312814559757314,2.529331635943819, 
78.00315660013106,92.72924397287183,a
30.655878696105013,7.321012375709257,d
74.68207117749138,79.325898277767,z
79.39190601741596,86.83673381628226,Y
92.98438807015128,66.60876728098026,Y
14.817095804086522,42.81191448266048,K
31.02407412854133,97.78127898668184,u
27.270512799193746,100.6231901377121,3
59.78641880709963,29.44950184786092,5
23.148704503556228,79.67174185877428,N
68.36481250062121,92.32088354648344,i
15.48890021014865,22.517654804585984,b
25.32677714559645,98.97249855952703,n
93.0065270422848,71.77059903328741,O
58.12798688865859,28.217074980938843,D
43.97701587646166,87.11823611723615,B
86.66504395882774,77.51066766224805,R
81.23796106852836,91.37928543108733,l
97.44165885891447,61.011348481733805,l
95.8186967842235,50.379842142590434,j
21.2161705071856,82.58984267143853,y
28.33861681743738,103.8626338072796,}
45.680970286049295,22.672332135341556,y
31.762954318001043,98.38233161228143,7
23.15223279673029,80.17172940976658, 
10.001551966438766,17.545447176200582,s
24.577327526302234,101.1425009758308,t
46.35503627096104,63.247758755726174,W
26.243656396662725,4.640234751241464,n
38.56929389251238,36.23199278539977,J
30.55974895711688,99.49846606788769,1
28.617270721610335,98.19690165417643,5
44.10019294552302,86.28841167411014,n
67.59224145915319,47.94775558508149,d
67.3108877136312,57.13570859728608,o
83.15325357196207,90.80622967148547,r
84.09713853107208,90.47512951925918,u
67.53737224994106,56.12288042902771,T
19.630106895472434,60.55072730407316,M
28.24776341222191,-0.394184574561498,u
20.75250608955533,78.95883712408698,A
83.96778114335663,93.25058551789145, 
79.11434964601034,35.6021099364725,D
22.681141395516285,81.09700840928336,i
61.55516920886699,29.331717108205623,B
28.83578918656301,67.83951734616043,s
23.79643727735343,96.81088733125317,l
47.00227248151638,69.81987911209868,r
63.126851165688514,30.234939310527647,4
27.90303210635784,4.106702736824766,i
28.15190905620122,41.571735536104526,W
36.546035075040514,30.63787240428689,Z
30.834960696491166,67.89707839107429,e
20.074549505981768,83.61503630008703,o
60.9563572472947,32.2083973518504,r
24.59598696397085,99.88792319802678,S
61.65791930004382,30.531632692250042,F
22.526083675468048,78.8892181821799,C
51.65491651427475,24.868807720793672,c
20.443426935145432,76.72530786530805,S
46.30424063083315,68.18207506685941,n
93.47490055492898,4.254440736084231,g
1.8532760954094618,70.04316508951047,q
12.087971132949512,20.22349468100745,:
26.94736927748423,3.973719414196287,r
27.626686606301075,94.2007684297727,C
50.294678298999465,68.52928742062562,t
38.75188499727136,96.6957953088955,t
32.8086369716251,64.41791154239148,i
11.890513445253134,22.036343641640105,y
62.64372289542525,30.36373012725162,n
27.000101427439112,100.21097469864239,G
8.693196394421777,20.84379026735317, 
23.206997260682687,81.67089216689686,s
31.51032414022276,66.55771876092598,n
26.420171174262503,7.820828080273323,.
62.434270780780075,25.86860723553101,r
30.09126112465994,49.82136345098552,k
70.42170244204658,64.17412345257249,H
45.806024063703084,67.21746755889772,h
32.674692555128956,66.20433307995594, 
43.69996968460668,71.61846196369702, 
81.74021019424384,90.25996738061542,o
12.023818838911177,26.30190380488923,e
46.06444641355115,69.69494637756434,h
27.971660474819323,98.93340476605451,1
